order_id,order_date,ship_date,category,product_name,sales,quantity,profit,country,city,state
CA-2013-138688,2013-06-13,2013-06-17,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,6.87,United States,Los Angeles,California
CA-2011-115812,2011-06-09,2011-06-14,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,14.17,United States,Los Angeles,California
CA-2013-161389,2013-12-06,2013-12-11,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.98,3,132.59,United States,Seattle,Washington
CA-2011-167164,2011-05-13,2011-05-15,Storage,Fellowes Super Stor/Drawer,55.5,2,9.99,United States,West Jordan,Utah
CA-2011-143336,2011-08-27,2011-09-01,Art,Newell 341,8.56,2,2.48,United States,San Francisco,California
CA-2012-106320,2012-09-25,2012-09-30,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,240.26,United States,Orem,Utah
CA-2013-121755,2013-01-16,2013-01-20,Binders,Wilson Jones Active Use Binders,11.65,2,4.22,United States,Los Angeles,California
CA-2013-101343,2013-07-18,2013-07-23,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,3.89,United States,Los Angeles,California
CA-2012-135545,2012-11-24,2012-11-30,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,6.15,United States,Los Angeles,California
CA-2011-106376,2011-12-05,2011-12-10,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.02,8,111.3,United States,Gilbert,Arizona
CA-2011-139451,2011-10-12,2011-10-16,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,4.17,United States,San Francisco,California
CA-2013-109806,2013-09-18,2013-09-23,Art,Turquoise Lead Holder with Pocket Clip,20.1,3,6.63,United States,Los Angeles,California
US-2014-109484,2014-11-07,2014-11-13,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.68,1,-3.79,United States,Portland,Oregon
CA-2014-157833,2014-06-18,2014-06-21,Binders,Trimflex Flexible Post Binders,51.31,3,17.96,United States,San Francisco,California
US-2012-156867,2012-11-13,2012-11-17,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.9,6,-26.88,United States,Aurora,Colorado
CA-2012-110457,2012-03-02,2012-03-06,Tables,Hon Racetrack Conference Tables,787.53,3,165.38,United States,Seattle,Washington
US-2014-107272,2014-11-06,2014-11-13,Binders,"Avery Durable Slant Ring Binders, No Labels",2.39,2,-1.83,United States,Phoenix,Arizona
US-2013-125969,2013-11-07,2013-11-11,Chairs,"Global Task Chair, Black",81.42,2,-9.16,United States,Los Angeles,California
CA-2013-145583,2013-10-14,2013-10-20,Paper,Xerox 195,20.04,3,9.62,United States,Roseville,California
CA-2014-106180,2014-09-19,2014-09-24,Art,Newell 343,8.82,3,2.38,United States,San Francisco,California
CA-2012-110744,2012-09-07,2012-09-12,Storage,Safco Industrial Wire Shelving,671.93,7,20.16,United States,Pasadena,California
CA-2013-158834,2013-03-14,2013-03-17,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,157.92,5,17.77,United States,Scottsdale,Arizona
CA-2012-124919,2012-05-31,2012-06-02,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,58.38,7,26.27,United States,San Jose,California
CA-2012-118948,2012-05-28,2012-06-03,Art,Newell 311,6.63,3,1.79,United States,Seattle,Washington
CA-2011-104269,2011-03-01,2011-03-06,Chairs,Global Deluxe High-Back Manager's Chair,457.57,2,51.48,United States,Seattle,Washington
CA-2013-162733,2013-05-12,2013-05-13,Paper,Xerox 1920,5.98,1,2.69,United States,Los Angeles,California
CA-2013-154508,2013-11-17,2013-11-21,Envelopes,Staples,28.4,5,13.35,United States,Carlsbad,New Mexico
CA-2013-113817,2013-11-08,2013-11-12,Binders,Wilson Jones International Size A4 Ring Binders,27.68,2,9.69,United States,Seattle,Washington
CA-2011-118962,2011-08-05,2011-08-09,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6Â” x 11Â”",20.94,3,9.84,United States,Los Angeles,California
CA-2011-123260,2011-08-26,2011-08-30,Accessories,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,176.8,8,22.98,United States,Los Angeles,California
CA-2012-131457,2012-10-31,2012-11-06,Envelopes,Poly String Tie Envelopes,14.28,7,6.71,United States,Redlands,California
CA-2011-133690,2011-08-03,2011-08-05,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,218.75,2,-161.88,United States,Denver,Colorado
CA-2014-108329,2014-12-10,2014-12-15,Phones,Nortel Business Series Terminal T7208 Digital phone,444.77,4,44.48,United States,Whittier,California
CA-2013-130162,2013-10-29,2013-11-02,Storage,"Personal Filing Tote with Lid, Black/Gray",93.06,6,26.06,United States,Los Angeles,California
CA-2014-160514,2014-11-13,2014-11-17,Paper,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),10.56,2,4.75,United States,Santa Clara,California
CA-2013-154739,2013-12-11,2013-12-16,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",321.57,2,28.14,United States,San Francisco,California
CA-2013-145625,2013-09-12,2013-09-18,Paper,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",7.61,1,3.58,United States,San Diego,California
CA-2012-155040,2012-11-10,2012-11-15,Accessories,Microsoft Sculpt Comfort Mouse,79.9,2,35.16,United States,Brentwood,California
CA-2014-163979,2014-12-29,2015-01-03,Storage,Adjustable Depth Letter/Legal Cart,725.84,4,210.49,United States,San Francisco,California
CA-2012-155334,2012-07-30,2012-07-31,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,209.93,7,92.37,United States,San Francisco,California
CA-2014-118136,2014-09-17,2014-09-18,Paper,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",8.82,2,4.06,United States,Inglewood,California
CA-2012-130890,2012-11-02,2012-11-06,Tables,"Bevis Round Bullnose 29"" High Table Top",1038.84,5,51.94,United States,Los Angeles,California
CA-2012-130883,2012-09-26,2012-10-02,Paper,Staples,141.76,5,47.84,United States,Portland,Oregon
CA-2011-111451,2011-12-26,2011-12-28,Furnishings,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",300.42,8,78.86,United States,Colorado Springs,Colorado
CA-2013-142902,2013-09-13,2013-09-15,Furnishings,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,15.14,4,3.59,United States,Arvada,Colorado
CA-2011-156601,2011-09-19,2011-09-24,Fasteners,OIC Binder Clips,7.16,2,3.58,United States,Long Beach,California
CA-2013-162138,2013-04-24,2013-04-28,Binders,Ibico Laser Imprintable Binding System Covers,251.52,6,81.74,United States,Hesperia,California
CA-2012-137946,2012-09-01,2012-09-04,Binders,Storex Dura Pro Binders,4.75,1,1.6,United States,Los Angeles,California
CA-2011-129924,2011-07-12,2011-07-17,Binders,Tuff Stuff Recycled Round Ring Binders,7.71,2,2.8,United States,San Francisco,California
CA-2012-128167,2012-06-22,2012-06-26,Fasteners,"OIC Binder Clips, Mini, 1/4"" Capacity, Black",4.96,4,2.33,United States,Layton,Utah
CA-2014-169901,2014-06-16,2014-06-20,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,47.98,3,4.8,United States,San Francisco,California
CA-2011-123344,2011-09-24,2011-09-29,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,8.48,United States,San Francisco,California
US-2011-119137,2011-07-23,2011-07-27,Binders,Wilson Jones Custom Binder Spines & Labels,8.16,5,-5.71,United States,Tucson,Arizona
CA-2013-134775,2013-10-29,2013-10-30,Paper,Southworth Structures Collection,50.96,7,25.48,United States,San Francisco,California
US-2011-135972,2011-09-21,2011-09-23,Phones,Nortel Meridian M3904 Professional Digital phone,246.38,2,27.72,United States,Des Moines,Washington
CA-2014-102946,2014-07-01,2014-07-06,Binders,Tuf-Vin Binders,75.79,3,25.58,United States,Las Vegas,Nevada
CA-2014-117457,2014-12-09,2014-12-13,Accessories,Sony 64GB Class 10 Micro SDHC R40 Memory Card,179.95,5,37.79,United States,San Francisco,California
CA-2014-142636,2014-11-04,2014-11-08,Paper,Xerox 191,139.86,7,65.73,United States,Seattle,Washington
CA-2014-122105,2014-06-25,2014-06-29,Art,Bulldog Vacuum Base Pencil Sharpener,95.92,8,25.9,United States,Huntington Beach,California
CA-2013-148796,2013-04-15,2013-04-19,Chairs,Bevis Steel Folding Chairs,383.8,5,38.38,United States,Los Angeles,California
CA-2014-110478,2014-03-05,2014-03-10,Art,American Pencil,9.32,4,2.7,United States,Los Angeles,California
CA-2011-142048,2011-06-22,2011-06-25,Accessories,KeyTronicÂ 6101 Series -Â KeyboardÂ - Black,196.75,6,56.57,United States,Louisville,Colorado
US-2011-110674,2011-02-13,2011-02-19,Chairs,"Global Geo Office Task Chair, Gray",129.57,2,-24.29,United States,Concord,California
CA-2012-109638,2012-12-15,2012-12-22,Appliances,3M Office Air Cleaner,103.92,4,36.37,United States,Seattle,Washington
CA-2013-109869,2013-04-23,2013-04-30,Furnishings,Eldon Wave Desk Accessories,23.56,5,7.07,United States,Phoenix,Arizona
CA-2011-144666,2011-11-09,2011-11-11,Storage,SAFCO Boltless Steel Shelving,340.92,3,3.41,United States,San Francisco,California
CA-2013-103891,2013-07-13,2013-07-20,Phones,Cisco SPA525G2 IP Phone - Wireless,95.76,6,7.18,United States,Los Angeles,California
CA-2011-134677,2011-10-06,2011-10-10,Accessories,ImationÂ USB 2.0 SwivelÂ Flash DriveÂ USBÂ flash driveÂ - 4 GB - Pink,9.09,3,1.91,United States,San Diego,California
CA-2014-140963,2014-06-11,2014-06-14,Labels,Alphabetical Labels for Top Tab Filing,29.6,2,14.8,United States,Los Angeles,California
